I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
5,9,5,-7,0,7,73,151,193,165,105,43
0,3,5,-1,-2,4,67,143,184,157,96,37
-11,1,12,5,-11,6,71,140,186,149,85,46
-9,2,12,4,-10,7,71,135,182,143,77,47
-8,4,13,2,-10,8,78,145,191,154,86,52
-5,8,14,-1,-9,11,80,146,192,155,87,57
-5,8,14,-1,-9,11,76,149,192,161,95,55
-6,10,16,-2,-11,13,74,149,190,162,99,58
-1,11,13,-4,-7,12,62,136,173,150,93,50
-2,9,13,-3,-7,11,53,124,156,142,91,43
1,11,12,-5,-5,12,42,97,126,119,77,35
-1,9,11,-4,-6,10,31,72,98,94,61,27
-7,9,18,0,-12,13,29,50,78,65,42,34
-4,11,16,-3,-9,13,21,28,55,39,25,32
-2,11,14,-4,-8,12,19,22,47,32,24,33
0,10,10,-4,-5,10,11,8,27,14,11,26
-1,1,3,0,-1,2,-3,-4,3,0,3,6
-9,-7,3,9,-6,-2,-12,-26,-26,-27,-19,-14
-17,-18,1,18,-9,-8,-30,-65,-73,-70,-56,-50
-31,-27,6,29,-18,-10,-31,-100,-116,-111,-94,-88
-42,-29,14,36,-28,-8,-23,-147,-170,-166,-149,-131
-57,-32,27,45,-42,-2,6,-186,-214,-217,-206,-184
-78,-29,50,54,-63,11,62,-220,-247,-266,-270,-230
-102,-44,59,73,-80,8,128,-241,-277,-311,-340,-297
-137,-73,65,106,-101,-4,213,-237,-287,-337,-402,-368
-173,-119,55,146,-113,-32,308,-229,-298,-367,-480,-448
-213,-183,30,198,-121,-76,409,-206,-304,-386,-556,-542
-248,-251,-2,250,-123,-126,522,-159,-285,-397,-635,-629
-275,-325,-49,300,-112,-187,631,-103,-261,-408,-720,-725
-303,-397,-93,351,-105,-245,739,-15,-198,-383,-781,-788
-326,-465,-138,396,-93,-302,841,82,-119,-349,-839,-830
-340,-503,-162,422,-89,-332,919,203,2,-263,-838,-821
-351,-513,-162,432,-94,-338,989,341,162,-143,-799,-758
-345,-503,-157,424,-93,-330,1033,501,352,23,-694,-682
-335,-476,-140,406,-97,-308,1067,692,583,242,-527,-581
-311,-442,-130,377,-90,-286,1075,872,794,464,-344,-480
-281,-407,-125,345,-78,-266,1060,1054,999,707,-132,-382
-248,-353,-104,301,-71,-228,1035,1187,1152,901,56,-282
-205,-288,-82,247,-61,-185,989,1275,1253,1053,225,-197
-164,-222,-56,194,-53,-139,934,1324,1312,1162,368,-122
-118,-152,-33,136,-42,-93,865,1326,1321,1215,471,-62
-81,-89,-7,86,-37,-48,791,1301,1300,1232,545,-13
